province,lookback,accuracy,precision,recall,f1,roc_auc
Quang_Tri,15,0.4883720930232558,0.6470588235294118,0.15492957746478872,0.25,0.6075764934434191
Quang_Tri,30,0.5503875968992248,0.7407407407407407,0.28169014084507044,0.40816326530612246,0.5694511898980088
Son_La,3,0.4806201550387597,0.6666666666666666,0.325,0.4369747899159664,0.5556122448979592
Son_La,5,0.4883720930232558,0.6842105263157895,0.325,0.4406779661016949,0.5290816326530613
Son_La,7,0.5116279069767442,0.673469387755102,0.4125,0.5116279069767442,0.539795918367347
Son_La,10,0.5193798449612403,0.6730769230769231,0.4375,0.5303030303030303,0.5403061224489796
Son_La,15,0.5271317829457365,0.6792452830188679,0.45,0.5413533834586466,0.5306122448979592
Son_La,30,0.49612403100775193,0.6415094339622641,0.425,0.5112781954887218,0.5589285714285716
Tay_Ninh,3,0.627906976744186,0.7894736842105263,0.2542372881355932,0.38461538461538464,0.6285714285714286
Tay_Ninh,5,0.627906976744186,0.7894736842105263,0.2542372881355932,0.38461538461538464,0.6285714285714286
Tay_Ninh,7,0.627906976744186,0.7619047619047619,0.2711864406779661,0.4,0.6249394673123485
Tay_Ninh,10,0.6356589147286822,0.875,0.23728813559322035,0.37333333333333335,0.6171912832929782
Tay_Ninh,15,0.627906976744186,0.7619047619047619,0.2711864406779661,0.4,0.5961259079903147
Tay_Ninh,30,0.627906976744186,0.72,0.3050847457627119,0.42857142857142855,0.6220338983050847
Thai_Nguyen,3,0.4728682170542636,0.7321428571428571,0.43617021276595747,0.5466666666666666,0.5182370820668694
Thai_Nguyen,5,0.4806201550387597,0.7288135593220338,0.4574468085106383,0.5620915032679739,0.49483282674772033
Thai_Nguyen,7,0.5271317829457365,0.746268656716418,0.5319148936170213,0.6211180124223602,0.4881458966565349
Thai_Nguyen,10,0.5038759689922481,0.7205882352941176,0.5212765957446809,0.6049382716049383,0.4924012158054711
Thai_Nguyen,15,0.5193798449612403,0.7285714285714285,0.5425531914893617,0.6219512195121951,0.48115501519756837
Thai_Nguyen,30,0.5271317829457365,0.726027397260274,0.5638297872340425,0.6347305389221557,0.4933130699088145
Thanh_Hoa,3,0.4186046511627907,0.575,0.2839506172839506,0.38016528925619836,0.47042181069958844
Thanh_Hoa,5,0.4186046511627907,0.5882352941176471,0.24691358024691357,0.34782608695652173,0.4711934156378601
Thanh_Hoa,7,0.4418604651162791,0.6153846153846154,0.2962962962962963,0.4,0.48739711934156377
Thanh_Hoa,10,0.4186046511627907,0.5833333333333334,0.25925925925925924,0.358974358974359,0.5043724279835391
Thanh_Hoa,15,0.43410852713178294,0.6176470588235294,0.25925925925925924,0.3652173913043478,0.5375514403292181
Thanh_Hoa,30,0.4806201550387597,0.6842105263157895,0.32098765432098764,0.4369747899159664,0.5650720164609054
Tuyen_Quang,3,0.40310077519379844,0.6326530612244898,0.34444444444444444,0.4460431654676259,0.46951566951566953
Tuyen_Quang,5,0.4263565891472868,0.6428571428571429,0.4,0.4931506849315068,0.4495726495726496
Tuyen_Quang,7,0.4263565891472868,0.6481481481481481,0.3888888888888889,0.4861111111111111,0.4367521367521368
Tuyen_Quang,10,0.4263565891472868,0.6379310344827587,0.4111111111111111,0.5,0.4490028490028489
Tuyen_Quang,15,0.4573643410852713,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.450997150997151
Tuyen_Quang,30,0.5503875968992248,0.7352941176470589,0.5555555555555556,0.6329113924050633,0.5299145299145299
Vinh_Long,3,0.5348837209302325,0.7142857142857143,0.15151515151515152,0.25,0.5019240019240019
Vinh_Long,5,0.5116279069767442,0.6363636363636364,0.10606060606060606,0.18181818181818182,0.5192400192400192
Vinh_Long,7,0.5348837209302325,0.75,0.13636363636363635,0.23076923076923078,0.49350649350649356
Vinh_Long,10,0.5581395348837209,0.8,0.18181818181818182,0.2962962962962963,0.47643097643097637
Vinh_Long,15,0.5348837209302325,0.6875,0.16666666666666666,0.2682926829268293,0.46801346801346805
Vinh_Long,30,0.49612403100775193,0.5217391304347826,0.18181818181818182,0.2696629213483146,0.44877344877344877
